segments.date,customer.id,customer.descriptive_name,campaign.id,campaign.name,campaign.status,campaign.advertising_channel_type,ad_group.id,ad_group.name,ad_group.status,segments.device,segments.ad_network_type,segments.product_item_id,segments.product_title,segments.product_brand,segments.product_type_l1,segments.product_type_l2,ad_group_criterion.keyword.text,ad_group_criterion.keyword.match_type,metrics.impressions,metrics.clicks,metrics.cost_micros,metrics.ctr,metrics.average_cpc,metrics.average_cpm,metrics.conversions,metrics.conversions_value,metrics.all_conversions,metrics.all_conversions_value,metrics.cost_per_conversion,metrics.conversions_from_interactions_rate,metrics.value_per_conversion,metrics.search_impression_share,metrics.search_budget_lost_impression_share,metrics.search_rank_lost_impression_share,metrics.view_through_conversions,metrics.interaction_rate
2024-10-01,1234567890,Sporthink TR,1896809310,SP_Google_Search_KosuAyakkabi,ENABLED,SEARCH,6088397395,nike_koşu_ayakkabısı_exact,ENABLED,DESKTOP,SEARCH,,,,,,nike koşu ayakkabısı,EXACT,192,9,19166000,0.046875,1971103,99563636,0.6,1299.38,0.7,1414.51,34224999,0.066667,2320.32,0.81,0.19,0.0,3,0.046875
2024-10-01,1234567890,Sporthink TR,1896809310,SP_Google_Search_KosuAyakkabi,ENABLED,SEARCH,6088397395,nike_koşu_ayakkabısı_exact,ENABLED,TABLET,SEARCH,,,,,,nike koşu ayakkabısı,EXACT,38,1,3833200,0.026316,1971103,99563636,0.1,259.88,0.1,307.39,34224999,0.1,2320.32,0.81,0.19,0.0,3,0.026316
2024-10-01,1234567890,Sporthink TR,1896809310,SP_Google_Search_KosuAyakkabi,ENABLED,SEARCH,1691706072,adidas_koşu_ayakkabısı_exact,ENABLED,MOBILE,SEARCH,,,,,,adidas koşu ayakkabısı,EXACT,113,6,32543799,0.053097,5096159,286275510,0.3,397.44,0.3,473.53,93516666,0.05,1142.08,0.83,0.11,0.06,0,0.053097
2024-10-01,1234567890,Sporthink TR,1896809310,SP_Google_Search_KosuAyakkabi,ENABLED,SEARCH,1691706072,adidas_koşu_ayakkabısı_exact,ENABLED,DESKTOP,SEARCH,,,,,,adidas koşu ayakkabısı,EXACT,68,3,19638500,0.044118,5096159,286275510,0.2,239.84,0.2,269.2,93516666,0.066667,1142.08,0.83,0.11,0.06,0,0.044118
2024-10-01,1234567890,Sporthink TR,1896809310,SP_Google_Search_KosuAyakkabi,ENABLED,SEARCH,1691706072,adidas_koşu_ayakkabısı_exact,ENABLED,TABLET,SEARCH,,,,,,adidas koşu ayakkabısı,EXACT,13,0,3927700,0.0,5096159,286275510,0.0,47.97,0.0,52.44,93516666,0.0,1142.08,0.83,0.11,0.06,0,0.0
2024-10-01,1234567890,Sporthink TR,1896809310,SP_Google_Search_KosuAyakkabi,ENABLED,SEARCH,715567035,erkek_koşu_ayakkabısı_phrase,ENABLED,MOBILE,SEARCH,,,,,,erkek koşu ayakkabısı,PHRASE,269,11,32914999,0.040892,2898252,122306034,0.4,931.02,0.4,1025.68,81071428,0.036364,2293.16,0.35,0.17,0.48,2,0.040892
2024-10-01,1234567890,Sporthink TR,1896809310,SP_Google_Search_KosuAyakkabi,ENABLED,SEARCH,715567035,erkek_koşu_ayakkabısı_phrase,ENABLED,DESKTOP,SEARCH,,,,,,erkek koşu ayakkabısı,PHRASE,162,6,19862500,0.037037,2898252,122306034,0.2,561.82,0.2,643.44,81071428,0.033333,2293.16,0.35,0.17,0.48,2,0.037037
2024-10-01,1234567890,Sporthink TR,1896809310,SP_Google_Search_KosuAyakkabi,ENABLED,SEARCH,715567035,erkek_koşu_ayakkabısı_phrase,ENABLED,TABLET,SEARCH,,,,,,erkek koşu ayakkabısı,PHRASE,32,1,3972500,0.03125,2898252,122306034,0.0,112.36,0.0,122.94,81071428,0.0,2293.16,0.35,0.17,0.48,2,0.03125
2024-10-01,1234567890,Sporthink TR,1896809310,SP_Google_Search_KosuAyakkabi,ENABLED,SEARCH,3423990482,kadın_koşu_ayakkabısı_phrase,ENABLED,MOBILE,SEARCH,,,,,,kadın koşu ayakkabısı,PHRASE,70,3,29255199,0.042857,7259983,416859504,0.1,171.51,0.1,184.22,252200000,0.033333,1478.55,0.83,0.17,0.0,0,0.042857
2024-10-01,1234567890,Sporthink TR,1896809310,SP_Google_Search_KosuAyakkabi,ENABLED,SEARCH,3423990482,kadın_koşu_ayakkabısı_phrase,ENABLED,DESKTOP,SEARCH,,,,,,kadın koşu ayakkabısı,PHRASE,42,2,17654000,0.047619,7259983,416859504,0.1,103.5,0.1,112.1,252200000,0.05,1478.55,0.83,0.17,0.0,0,0.047619
2024-10-01,1234567890,Sporthink TR,1896809310,SP_Google_Search_KosuAyakkabi,ENABLED,SEARCH,3423990482,kadın_koşu_ayakkabısı_phrase,ENABLED,TABLET,SEARCH,,,,,,kadın koşu ayakkabısı,PHRASE,8,0,3530800,0.0,7259983,416859504,0.0,20.7,0.0,23.6,252200000,0.0,1478.55,0.83,0.17,0.0,0,0.0
2024-10-01,1234567890,Sporthink TR,1896809310,SP_Google_Search_KosuAyakkabi,ENABLED,SEARCH,2319409517,en_iyi_koşu_ayakkabısı_broad,ENABLED,MOBILE,SEARCH,,,,,,en iyi koşu ayakkabısı,BROAD,115,6,35617800,0.052174,4823237,308592964,0.3,294.58,0.3,311.32,102350000,0.05,846.5,0.51,0.07,0.42,3,0.052174
2024-10-01,1234567890,Sporthink TR,1896809310,SP_Google_Search_KosuAyakkabi,ENABLED,SEARCH,2319409517,en_iyi_koşu_ayakkabısı_broad,ENABLED,DESKTOP,SEARCH,,,,,,en iyi koşu ayakkabısı,BROAD,69,4,21493500,0.057971,4823237,308592964,0.2,177.76,0.2,210.65,102350000,0.05,846.5,0.51,0.07,0.42,3,0.057971
2024-10-01,1234567890,Sporthink TR,1896809310,SP_Google_Search_KosuAyakkabi,ENABLED,SEARCH,2319409517,en_iyi_koşu_ayakkabısı_broad,ENABLED,TABLET,SEARCH,,,,,,en iyi koşu ayakkabısı,BROAD,13,0,4298700,0.0,4823237,308592964,0.0,35.55,0.0,39.05,102350000,0.0,846.5,0.51,0.07,0.42,3,0.0
2024-10-01,1234567890,Sporthink TR,7270784522,SP_Google_Search_SporAyakkabi,ENABLED,SEARCH,6836316842,spor_ayakkabı_exact,ENABLED,MOBILE,SEARCH,,,,,,spor ayakkabı,EXACT,78,5,22614200,0.064103,3748273,286691176,0.2,213.99,0.2,250.41,129966666,0.04,1229.8,0.26,0.18,0.56,0,0.064103
2024-10-01,1234567890,Sporthink TR,7270784522,SP_Google_Search_SporAyakkabi,ENABLED,SEARCH,6836316842,spor_ayakkabı_exact,ENABLED,DESKTOP,SEARCH,,,,,,spor ayakkabı,EXACT,47,3,13646500,0.06383,3748273,286691176,0.1,129.13,0.1,154.55,129966666,0.033333,1229.8,0.26,0.18,0.56,0,0.06383
2024-10-01,1234567890,Sporthink TR,7270784522,SP_Google_Search_SporAyakkabi,ENABLED,SEARCH,6836316842,spor_ayakkabı_exact,ENABLED,TABLET,SEARCH,,,,,,spor ayakkabı,EXACT,9,0,2729300,0.0,3748273,286691176,0.0,25.83,0.0,30.38,129966666,0.0,1229.8,0.26,0.18,0.56,0,0.0
2024-10-01,1234567890,Sporthink TR,7270784522,SP_Google_Search_SporAyakkabi,ENABLED,SEARCH,210445417,erkek_spor_ayakkabı_phrase,ENABLED,MOBILE,SEARCH,,,,,,erkek spor ayakkabı,PHRASE,265,20,51515600,0.075472,2404877,193930131,0.5,1073.77,0.5,1176.45,111024999,0.025,2314.16,0.71,0.16,0.13,1,0.075472
2024-10-01,1234567890,Sporthink TR,7270784522,SP_Google_Search_SporAyakkabi,ENABLED,SEARCH,210445417,erkek_spor_ayakkabı_phrase,ENABLED,DESKTOP,SEARCH,,,,,,erkek spor ayakkabı,PHRASE,160,12,31086999,0.075,2404877,193930131,0.3,647.97,0.3,756.34,111024999,0.025,2314.16,0.71,0.16,0.13,1,0.075
2024-10-01,1234567890,Sporthink TR,7270784522,SP_Google_Search_SporAyakkabi,ENABLED,SEARCH,210445417,erkek_spor_ayakkabı_phrase,ENABLED,TABLET,SEARCH,,,,,,erkek spor ayakkabı,PHRASE,32,2,6217400,0.0625,2404877,193930131,0.1,129.59,0.1,152.63,111024999,0.05,2314.16,0.71,0.16,0.13,1,0.0625
2024-10-01,1234567890,Sporthink TR,7270784522,SP_Google_Search_SporAyakkabi,ENABLED,SEARCH,4216971012,kadın_spor_ayakkabı_phrase,ENABLED,MOBILE,SEARCH,,,,,,kadın spor ayakkabı,PHRASE,172,4,36453000,0.023256,7813477,210906040,0.2,576.95,0.2,626.55,157125000,0.05,2486.85,0.57,0.09,0.34,2,0.023256
2024-10-01,1234567890,Sporthink TR,7270784522,SP_Google_Search_SporAyakkabi,ENABLED,SEARCH,4216971012,kadın_spor_ayakkabı_phrase,ENABLED,DESKTOP,SEARCH,,,,,,kadın spor ayakkabı,PHRASE,104,2,21997500,0.019231,7813477,210906040,0.1,348.16,0.1,373.72,157125000,0.05,2486.85,0.57,0.09,0.34,2,0.019231
2024-10-01,1234567890,Sporthink TR,7270784522,SP_Google_Search_SporAyakkabi,ENABLED,SEARCH,4216971012,kadın_spor_ayakkabı_phrase,ENABLED,TABLET,SEARCH,,,,,,kadın spor ayakkabı,PHRASE,20,0,4399500,0.0,7813477,210906040,0.0,69.63,0.0,76.04,157125000,0.0,2486.85,0.57,0.09,0.34,2,0.0
2024-10-01,1234567890,Sporthink TR,7270784522,SP_Google_Search_SporAyakkabi,ENABLED,SEARCH,2990763251,nike_spor_ayakkabı_exact,ENABLED,MOBILE,SEARCH,,,,,,nike spor ayakkabı,EXACT,87,3,27190399,0.034483,7471902,312533333,0.2,131.43,0.2,148.17,156266666,0.066667,755.33,0.59,0.12,0.29,0,0.034483
2024-10-01,1234567890,Sporthink TR,7270784522,SP_Google_Search_SporAyakkabi,ENABLED,SEARCH,2990763251,nike_spor_ayakkabı_exact,ENABLED,DESKTOP,SEARCH,,,,,,nike spor ayakkabı,EXACT,52,2,16407999,0.038462,7471902,312533333,0.1,79.31,0.1,94.28,156266666,0.05,755.33,0.59,0.12,0.29,0,0.038462
2024-10-01,1234567890,Sporthink TR,7270784522,SP_Google_Search_SporAyakkabi,ENABLED,SEARCH,2990763251,nike_spor_ayakkabı_exact,ENABLED,TABLET,SEARCH,,,,,,nike spor ayakkabı,EXACT,10,0,3281600,0.0,7471902,312533333,0.0,15.86,0.0,17.62,156266666,0.0,755.33,0.59,0.12,0.29,0,0.0
2024-10-01,1234567890,Sporthink TR,7270784522,SP_Google_Search_SporAyakkabi,ENABLED,SEARCH,3676965130,adidas_spor_ayakkabı_exact,ENABLED,MOBILE,SEARCH,,,,,,adidas spor ayakkabı,EXACT,98,5,28646199,0.05102,4558340,292248520,0.3,558.39,0.4,654.19,98780000,0.06,1925.5,0.38,0.03,0.59,0,0.05102
2024-10-01,1234567890,Sporthink TR,7270784522,SP_Google_Search_SporAyakkabi,ENABLED,SEARCH,3676965130,adidas_spor_ayakkabı_exact,ENABLED,DESKTOP,SEARCH,,,,,,adidas spor ayakkabı,EXACT,59,3,17286500,0.050847,4558340,292248520,0.2,336.96,0.2,367.99,98780000,0.066667,1925.5,0.38,0.03,0.59,0,0.050847
2024-10-01,1234567890,Sporthink TR,7270784522,SP_Google_Search_SporAyakkabi,ENABLED,SEARCH,3676965130,adidas_spor_ayakkabı_exact,ENABLED,TABLET,SEARCH,,,,,,adidas spor ayakkabı,EXACT,11,0,3457300,0.0,4558340,292248520,0.0,67.39,0.0,74.18,98780000,0.0,1925.5,0.38,0.03,0.59,0,0.0
2024-10-01,1234567890,Sporthink TR,7270784522,SP_Google_Search_SporAyakkabi,ENABLED,SEARCH,3541592110,sneaker_broad,ENABLED,MOBILE,SEARCH,,,,,,sneaker,BROAD,547,12,39637200,0.021938,3010783,72394067,0.4,926.79,0.4,1076.18,97628571,0.033333,2282.74,0.54,0.1,0.36,1,0.021938
2024-10-01,1234567890,Sporthink TR,7270784522,SP_Google_Search_SporAyakkabi,ENABLED,SEARCH,3541592110,sneaker_broad,ENABLED,DESKTOP,SEARCH,,,,,,sneaker,BROAD,330,7,23919000,0.021212,3010783,72394067,0.2,559.27,0.2,631.29,97628571,0.028571,2282.74,0.54,0.1,0.36,1,0.021212
2024-10-01,1234567890,Sporthink TR,7270784522,SP_Google_Search_SporAyakkabi,ENABLED,SEARCH,3541592110,sneaker_broad,ENABLED,TABLET,SEARCH,,,,,,sneaker,BROAD,66,1,4783800,0.015152,3010783,72394067,0.0,111.85,0.0,132.3,97628571,0.0,2282.74,0.54,0.1,0.36,1,0.015152
2024-10-01,1234567890,Sporthink TR,7270784522,SP_Google_Search_SporAyakkabi,ENABLED,SEARCH,1901783825,günlük_spor_ayakkabı_broad,ENABLED,MOBILE,SEARCH,,,,,,günlük spor ayakkabı,BROAD,77,4,30548599,0.051948,5875967,396015037,0.1,122.17,0.1,142.82,263349999,0.025,1053.15,0.48,0.16,0.36,1,0.051948
2024-10-01,1234567890,Sporthink TR,7270784522,SP_Google_Search_SporAyakkabi,ENABLED,SEARCH,1901783825,günlük_spor_ayakkabı_broad,ENABLED,DESKTOP,SEARCH,,,,,,günlük spor ayakkabı,BROAD,46,2,18434500,0.043478,5875967,396015037,0.1,73.72,0.1,81.9,263349999,0.05,1053.15,0.48,0.16,0.36,1,0.043478
2024-10-01,1234567890,Sporthink TR,7270784522,SP_Google_Search_SporAyakkabi,ENABLED,SEARCH,1901783825,günlük_spor_ayakkabı_broad,ENABLED,TABLET,SEARCH,,,,,,günlük spor ayakkabı,BROAD,9,0,3686900,0.0,5875967,396015037,0.0,14.74,0.0,16.3,263349999,0.0,1053.15,0.48,0.16,0.36,1,0.0
2024-10-01,1234567890,Sporthink TR,7154389682,SP_Google_Search_Krampon,ENABLED,SEARCH,5330695628,krampon_exact,ENABLED,MOBILE,SEARCH,,,,,,krampon,EXACT,78,4,24209200,0.051282,5958255,309185185,0.1,96.78,0.1,103.88,417400000,0.025,1668.7,0.81,0.17,0.02,2,0.051282
2024-10-01,1234567890,Sporthink TR,7154389682,SP_Google_Search_Krampon,ENABLED,SEARCH,5330695628,krampon_exact,ENABLED,DESKTOP,SEARCH,,,,,,krampon,EXACT,47,2,14609000,0.042553,5958255,309185185,0.0,58.4,0.0,62.3,417400000,0.0,1668.7,0.81,0.17,0.02,2,0.042553
2024-10-01,1234567890,Sporthink TR,7154389682,SP_Google_Search_Krampon,ENABLED,SEARCH,5330695628,krampon_exact,ENABLED,TABLET,SEARCH,,,,,,krampon,EXACT,9,0,2921800,0.0,5958255,309185185,0.0,11.68,0.0,12.37,417400000,0.0,1668.7,0.81,0.17,0.02,2,0.0
2024-10-01,1234567890,Sporthink TR,7154389682,SP_Google_Search_Krampon,ENABLED,SEARCH,7711146113,halı_saha_ayakkabısı_exact,ENABLED,MOBILE,SEARCH,,,,,,halı saha ayakkabısı,EXACT,67,4,26256600,0.059701,5031316,386923076,0.1,92.36,0.1,102.91,226350000,0.025,796.25,0.61,0.17,0.22,1,0.059701
2024-10-01,1234567890,Sporthink TR,7154389682,SP_Google_Search_Krampon,ENABLED,SEARCH,7711146113,halı_saha_ayakkabısı_exact,ENABLED,DESKTOP,SEARCH,,,,,,halı saha ayakkabısı,EXACT,40,2,15844499,0.05,5031316,386923076,0.1,55.74,0.1,60.18,226350000,0.05,796.25,0.61,0.17,0.22,1,0.05
2024-10-01,1234567890,Sporthink TR,7154389682,SP_Google_Search_Krampon,ENABLED,SEARCH,7711146113,halı_saha_ayakkabısı_exact,ENABLED,TABLET,SEARCH,,,,,,halı saha ayakkabısı,EXACT,8,0,3168900,0.0,5031316,386923076,0.0,11.15,0.0,13.17,226350000,0.0,796.25,0.61,0.17,0.22,1,0.0
2024-10-01,1234567890,Sporthink TR,7154389682,SP_Google_Search_Krampon,ENABLED,SEARCH,4205801685,nike_krampon_exact,ENABLED,MOBILE,SEARCH,,,,,,nike krampon,EXACT,495,17,35142200,0.034343,1965881,70948477,0.8,1812.51,0.9,1937.69,43278571,0.047059,2232.16,0.32,0.17,0.51,0,0.034343
2024-10-01,1234567890,Sporthink TR,7154389682,SP_Google_Search_Krampon,ENABLED,SEARCH,4205801685,nike_krampon_exact,ENABLED,DESKTOP,SEARCH,,,,,,nike krampon,EXACT,298,10,21206500,0.033557,1965881,70948477,0.5,1093.76,0.6,1305.97,43278571,0.05,2232.16,0.32,0.17,0.51,0,0.033557
2024-10-01,1234567890,Sporthink TR,7154389682,SP_Google_Search_Krampon,ENABLED,SEARCH,4205801685,nike_krampon_exact,ENABLED,TABLET,SEARCH,,,,,,nike krampon,EXACT,59,2,4241300,0.033898,1965881,70948477,0.1,218.75,0.1,255.26,43278571,0.05,2232.16,0.32,0.17,0.51,0,0.033898
2024-10-01,1234567890,Sporthink TR,7154389682,SP_Google_Search_Krampon,ENABLED,SEARCH,209969230,adidas_krampon_phrase,ENABLED,MOBILE,SEARCH,,,,,,adidas krampon,PHRASE,244,7,23449400,0.028689,3096764,96033254,0.2,444.51,0.2,530.29,101074999,0.028571,1915.97,0.74,0.03,0.23,2,0.028689
2024-10-01,1234567890,Sporthink TR,7154389682,SP_Google_Search_Krampon,ENABLED,SEARCH,209969230,adidas_krampon_phrase,ENABLED,DESKTOP,SEARCH,,,,,,adidas krampon,PHRASE,147,4,14150500,0.027211,3096764,96033254,0.1,268.24,0.1,296.35,101074999,0.025,1915.97,0.74,0.03,0.23,2,0.027211
2024-10-01,1234567890,Sporthink TR,7154389682,SP_Google_Search_Krampon,ENABLED,SEARCH,209969230,adidas_krampon_phrase,ENABLED,TABLET,SEARCH,,,,,,adidas krampon,PHRASE,29,0,2830100,0.0,3096764,96033254,0.0,53.65,0.0,58.69,101074999,0.0,1915.97,0.74,0.03,0.23,2,0.0
2024-10-01,1234567890,Sporthink TR,7154389682,SP_Google_Search_Krampon,ENABLED,SEARCH,7318826801,çocuk_krampon_broad,ENABLED,MOBILE,SEARCH,,,,,,çocuk krampon,BROAD,72,4,31012599,0.055556,7630107,427760000,0.2,458.18,0.2,499.73,133674999,0.05,1974.9,0.67,0.14,0.19,3,0.055556
2024-10-01,1234567890,Sporthink TR,7154389682,SP_Google_Search_Krampon,ENABLED,SEARCH,7318826801,çocuk_krampon_broad,ENABLED,DESKTOP,SEARCH,,,,,,çocuk krampon,BROAD,43,2,18714500,0.046512,7630107,427760000,0.1,276.49,0.1,310.92,133674999,0.05,1974.9,0.67,0.14,0.19,3,0.046512
2024-10-01,1234567890,Sporthink TR,7154389682,SP_Google_Search_Krampon,ENABLED,SEARCH,7318826801,çocuk_krampon_broad,ENABLED,TABLET,SEARCH,,,,,,çocuk krampon,BROAD,8,0,3742900,0.0,7630107,427760000,0.0,55.3,0.0,61.04,133674999,0.0,1974.9,0.67,0.14,0.19,3,0.0
2024-10-01,1234567890,Sporthink TR,7154389682,SP_Google_Search_Krampon,ENABLED,SEARCH,1006870393,futbol_ayakkabısı_broad,ENABLED,MOBILE,SEARCH,,,,,,futbol ayakkabısı,BROAD,55,4,32839599,0.072727,7641727,596000000,0.2,244.82,0.2,273.73,188733333,0.05,1407.0,0.76,0.15,0.09,2,0.072727
2024-10-01,1234567890,Sporthink TR,7154389682,SP_Google_Search_Krampon,ENABLED,SEARCH,1006870393,futbol_ayakkabısı_broad,ENABLED,DESKTOP,SEARCH,,,,,,futbol ayakkabısı,BROAD,33,2,19817000,0.060606,7641727,596000000,0.1,147.73,0.1,167.46,188733333,0.05,1407.0,0.76,0.15,0.09,2,0.060606
2024-10-01,1234567890,Sporthink TR,7154389682,SP_Google_Search_Krampon,ENABLED,SEARCH,1006870393,futbol_ayakkabısı_broad,ENABLED,TABLET,SEARCH,,,,,,futbol ayakkabısı,BROAD,6,0,3963400,0.0,7641727,596000000,0.0,29.55,0.0,34.05,188733333,0.0,1407.0,0.76,0.15,0.09,2,0.0
2024-10-01,1234567890,Sporthink TR,9486946990,SP_Google_Shopping_Ayakkabi,ENABLED,SHOPPING,2913076751,ag_outdoor_ayakkabı,ENABLED,DESKTOP,SEARCH,SP-AYK-OD-125,Birkenstock X Ultra 4 GTX Kadın Outdoor Ayakkabı,Birkenstock,Ayakkabı,Outdoor Ayakkabı,,,192,7,29650000,0.036458,3929247,154427083,0.2,652.37,0.2,717.61,148249999,0.028571,3261.85,0.31,0.14,0.2,4,0.036458
2024-10-01,1234567890,Sporthink TR,9486946990,SP_Google_Shopping_Ayakkabi,ENABLED,SHOPPING,9877388941,ag_krampon,ENABLED,DESKTOP,SEARCH,SP-AYK-KR-108,Birkenstock Predator Elite FG Erkek Krampon,Birkenstock,Ayakkabı,Krampon,,,284,12,16140000,0.042254,1300003,56830985,0.5,2219.32,0.6,2441.25,32280000,0.041667,4438.64,0.33,0.14,0.15,4,0.042254
2024-10-01,1234567890,Sporthink TR,9486946990,SP_Google_Shopping_Ayakkabi,ENABLED,SHOPPING,3254083108,ag_sneaker,ENABLED,MOBILE,SEARCH,SP-AYK-SN-032,Hummel Air Force 1 '07 Kadın Sneaker,Hummel,Ayakkabı,Sneaker,,,197,8,10920000,0.040609,1342464,55431472,0.2,678.09,0.2,745.9,54599999,0.025,3390.45,0.71,0.12,0.08,0,0.040609
